CarName_Brand,CarName_Model,CarName_ModelYear,CarName_Engine,CarName_Miles,CarName_gears,CarName_Price,CarName_Region,CarName_Dealer,CarName_volym,CarName_hk
Toyota,Verso Valvematic,2015,Bensin,8224,Manuell,149800,Södermanland,Riddermark bil,,147
Toyota,Verso,2015,Diesel,6864,Manuell,174800,Stockholm,Riddermark bil,1.6,111
Toyota,Verso,2015,Bensin,9849,Automat,184800,Stockholm,Riddermark bil,1.8,147
Toyota,Prius+,2015,Hybrid,34600,Automat,109900,Stockholm,BilLabyrinten
Toyota,Previa,2005,Bensin,19066,Manuell,54000,Uppsala,,2.4
Toyota,Verso,2015,Diesel,15245,Manuell,139900,Stockholm,Riddermark bil,1.6,111
Toyota,Prius+,2017,Hybrid,3468,Automat,279700,Stockholm,DAAL bil,,122
Toyota,Verso Valvematic,2014,Bensin,13729,Manuell,129000,Stockholm,,1.8
Toyota,Prius+,2012,Hybrid,15606,Automat,169800,Stockholm,RCR bil,,136
Toyota,Verso,2017,Bensin,8209,Automat,199800,Stockholm,Riddermark bil,1.8,147
Toyota,Verso Valvematic,2017,Bensin,8771,Manuell,154800,Stockholm,Riddermark bil,1.8,
Toyota,Prius+,2019,Hybrid,3829,Automat,299000,Stockholm, bilia,1.8,
Toyota,Verso,2015,Diesel,12251,Manuell,148900,Stockholm,Riddermark bil,1.6,111
Toyota,Verso Valvematic,2010,Bensin,23400,Manuell,64900,Södermanland,Hällby bilar,1.8,
Toyota,Corolla Verso,2007,Diesel,38000,Manuell,18000,Stockholm,,2.2,
Toyota,Prius+,2017,Hybrid,7998,Automat,239000,Stockholm,StockholmMotorGroup,,
Toyota,Verso,2015,Diesel,12010,Manuell,139000,Stockholm,Autohero,1.6,
Toyota,Verso,2011,Diesel,16600,Automat,89900,Stockholm,Melinas bilar,2.2,150
Toyota,Verso,2013,Diesel,11865,Automat,119900,Södermanland,DinPärla,2.2,
Toyota,Verso,2017,Bensin,18499,Manuell,124900,Stockholm,Arvid bil,1.8
Toyota,Verso,2015,Diesel,13000,Manuell,129900,Stockholm,Melinas bilar,1.6,111
Toyota,Verso,2011,Diesel,18500,Manuell,79900,Södermanland,DinPärla,2.0
Toyota,Prius+,2014,Hybrid,39000,Automat,99000,Stockholm,Autoimprove,,136
Toyota,Corolla Verso,2008,Bensin,19218,Manuell,49000,Stockholm,,1.8,
Toyota,Highlander,2008,Bensin,26380,Automat,139900,Stockholm,RicondAB,3.3,
Toyota,Verso Valvematic,2010,Bensin,19474,Automat,84900,Stockholm,Haninge bilcenter,1.8,
Toyota,Corolla Verso,2004,Bensin,23695,Manuell,39900,Södermanland, bildirekten,1.8
Toyota,Corolla Verso,2004,Bensin,23695,Manuell,39900,Södermanland, bildirekten,1.8,129
Toyota,Verso,2012,Diesel,22000,Automat,79900,Södermanland,Economilaconsulting,2.2,
Toyota,Verso Valvematic,2010,Bensin,15000,Manuell,87000,Stockholm,Saras bil,1.8,
Toyota,Verso Valvematic,2010,Bensin,24778,Manuell,58500,Stockholm,,1.8,
Toyota,Verso,2010,Bensin,25237,Automat,79000,Stockholm,Märsta bilhus,1.8,147
Toyota,Corolla Verso,2006,Bensin,26000,Manuell,29000,Stockholm,,1.8,
Toyota,Corolla Verso,2005,Bensin,17318,Manuell,44000,Stockholm,,1.8,
Toyota,Prius+,2018,Hybrid,20000,Automat,189900,Stockholm,Melinas bilar,,122
Toyota,Corolla Verso,2006,Bensin,26364,Manuell,35000,Stockholm,,1.8
Toyota,Prius+,2015,Hybrid,36655,Automat,125000,Stockholm,,,
Toyota,Corolla Verso,2008,Bensin,24400,Manuell,49500,Södermanland,Invader,1.8
Toyota,Prius+,2014,Hybrid,32468,Automat,110000,Stockholm,,,
Toyota,Prius+,2016,Hybrid,2300,Automat,149900,Stockholm,,,
Toyota,Land Cruiser,2000,Bensin,29000,Automat,224000,Stockholm,Drömbilar,4.7,
Toyota,Verso,2013,Diesel,1800,Automat,119900,Stockholm,Daxbil,2.2
Toyota,Previa,2005,Bensin,18600,Manuell,69900,Södermanland,Bilhallen,2.4,156
Toyota,Corolla Verso,2007,Bensin,21078,Automat,59900,Stockholm,Hoffsten Motor,1.8,
Toyota,Prius+,2016,Hybrid,26666,Automat,149900,Södermanland,Fulmarus Bilar,,122
Toyota,Prius+,2018,Hybrid,3895,Automat,149900,Södermanland,Fulmarus Bilar,,122
Toyota,Prius+,2014,Hybrid,47000,Automat,99900,Stockholm,Speedison,,
Toyota,Prius+,2014,Hybrid,27254,Automat,124900,Stockholm,Speedison,,136
Toyota,Verso,2017,Bensin,10145,Manuell,159000,Södermanland,Haag & Carlsson Bil,1.8,147
Toyota,Prius+,2018,Hybrid,22320,Automat,189900,Södermanland,Fulmarus Bilar,,122
Toyota,Verso Valvematic,2011,Bensin,16200,Manuell,89900,Södermanland,City Bilar,1.8,147